Symbol,shortName,forwardPE,currentRatio,shortRatio,marketCap,sector,industry
MAIN,Main Street Capital Corporation,16.132126,1.699,7.33,5490856448,Financial Services,Asset Management
MAN,ManpowerGroup,10.440777,1.12,3.48,2510639616,Industrials,Staffing & Employment Services
MANU,Manchester,-26.777777,0.415,9.86,2467815680,Communication Services,Entertainment
MAS,Masco Corporation,16.929865,1.75,4.06,15862688768,Industrials,Building Products & Equipment
MATV,"Mativ Holdings, Inc.",4.182927,2.397,3.13,372743584,Basic Materials,Specialty Chemicals
MATX,"Matson, Inc.",14.289999,1.128,5.41,4745722880,Industrials,Marine Shipping
MAX,"MediaAlpha, Inc.",15.847221,1.222,4.09,748667136,Communication Services,Internet Content & Information
MBC,"MasterBrand, Inc.",8.719512,1.646,4.0,1825380736,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MBI,MBIA Inc.,-7.2340426,4.111,3.73,347004704,Financial Services,Insurance - Specialty
MCD,McDonald's Corporation,24.172087,1.191,2.67,218432946176,Consumer Cyclical,Restaurants
MCK,McKesson Corporation,16.237707,0.884,2.28,74908606464,Healthcare,Medical Distribution
MCO,Moody's Corporation,37.55856,1.471,2.73,90204979200,Financial Services,Financial Data & Stock Exchanges
MCR,MFS Charter Income Trust,30.476192,0.083,1.29,267120640,Financial Services,Asset Management
MCS,Marcus Corporation (The),38.7037,0.543,4.07,657973760,Communication Services,Entertainment
MCY,Mercury General Corporation,8.035384,0.453,1.88,2892946432,Financial Services,Insurance - Property & Casualty
MD,"Pediatrix Medical Group, Inc.",10.202615,1.604,4.87,1339800064,Healthcare,Medical Care Facilities
MDT,Medtronic plc.,15.37436,1.901,1.84,115417309184,Healthcare,Medical Devices
MDV,"Modiv Industrial, Inc.",132.27274,5.341,0.98,140353232,Real Estate,REIT - Industrial
MEC,"Mayville Engineering Company, I",22.833332,1.769,2.53,311109600,Industrials,Metal Fabrication
MED,MEDIFAST INC,49.099995,3.342,6.34,161113792,Consumer Cyclical,Personal Services
MEG,"Montrose Environmental Group, I",-40.31818,1.926,5.97,608494400,Industrials,Waste Management
MEI,"Methode Electronics, Inc.",12.829269,2.753,4.27,375107456,Technology,Electronic Components
MET,"MetLife, Inc.",8.360166,3.29,1.99,55186284544,Financial Services,Insurance - Life
MFC,Manulife Financial Corporation,10.291526,5.159,6.57,52464508928,Financial Services,Insurance - Life
MG,Mistras Group Inc,11.77381,1.679,1.21,306692864,Industrials,Security & Protection Services
MGA,"Magna International, Inc.",6.4000006,1.084,4.7,10800935936,Consumer Cyclical,Auto Parts
MGM,MGM Resorts International,15.652174,1.302,3.25,10279836672,Consumer Cyclical,Resorts & Casinos
MGY,Magnolia Oil & Gas Corporation,12.328205,1.415,16.06,4667582976,Energy,Oil & Gas E&P
MHK,"Mohawk Industries, Inc.",10.394619,2.057,2.25,7253856768,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MHO,"M/I Homes, Inc.",5.5570884,7.021,2.99,3167244800,Consumer Cyclical,Residential Construction
MIR,"Mirion Technologies, Inc.",32.285713,2.258,1.86,3672343808,Industrials,Specialty Industrial Machinery
MITT,"AG Mortgage Investment Trust, I",7.9784946,8.113,1.16,218962720,Real Estate,REIT - Mortgage
MKC,"McCormick & Company, Incorporat",25.685898,0.742,2.71,21491544064,Consumer Defensive,Packaged Foods
MKFG,Markforged Holding Corporation,-2.7765956,2.393,1.38,53818196,Technology,Computer Hardware
ML,MoneyLion Inc.,25.14956,6.331,2.35,962656000,Technology,Software - Application
MLI,"Mueller Industries, Inc.",14.7905655,5.056,4.81,8915686400,Industrials,Metal Fabrication
MLM,"Martin Marietta Materials, Inc.",23.504799,2.502,3.74,29938089984,Basic Materials,Building Materials
MLNK,"MeridianLink, Inc.",36.8,1.863,5.9,1389663616,Technology,Software - Application
MLR,"Miller Industries, Inc.",9.726538,2.117,10.92,687616320,Consumer Cyclical,Auto Parts
MMC,"Marsh & McLennan Companies, Inc",24.391302,1.133,2.01,112965042176,Financial Services,Insurance Brokers
MMI,"Marcus & Millichap, Inc.",624.6667,3.085,4.85,1456352896,Real Estate,Real Estate Services
MMM,3M Company,18.351898,1.411,1.6,78709637120,Industrials,Conglomerates
MMS,"Maximus, Inc.",12.132353,1.717,2.72,3735626496,Industrials,Specialty Business Services
MNR,Mach Natural Resources LP,5.601399,1.243,1.04,1864696064,Energy,Oil & Gas E&P
MNSO,MINISO Group Holding Limited,13.238411,2.137,5.35,6750283264,Consumer Cyclical,Specialty Retail
MO,"Altria Group, Inc.",10.28972,0.514,4.22,93070278656,Consumer Defensive,Tobacco
MOD,Modine Manufacturing Company,18.185654,1.873,3.04,4531878400,Consumer Cyclical,Auto Parts
MODG,Topgolf Callaway Brands Corp.,43.812504,1.927,4.98,1288606336,Consumer Cyclical,Leisure
MOGU,MOGU Inc.,30.57143,1.54,1.8,17582262,Consumer Cyclical,Internet Retail
MOH,Molina Healthcare Inc,11.038896,1.618,1.99,15751454720,Healthcare,Healthcare Plans
MOS,Mosaic Company (The),10.471544,1.191,2.05,8182535168,Basic Materials,Agricultural Inputs
MOV,Movado Group Inc.,7.732283,4.27,6.79,434886528,Consumer Cyclical,Luxury Goods
MP,MP Materials Corp.,202.5,6.288,6.44,3965662720,Basic Materials,Other Industrial Metals & Mining
MPLN,MultiPlan Corporation,-3.3616533,1.05,2.48,473492736,Healthcare,Health Information Services
MPV,Barings Participation Investors,23.472221,1.696,0.13,179837968,Financial Services,Asset Management
MPW,"Medical Properties Trust, Inc.",18.037035,5.8,14.13,2923948032,Real Estate,REIT - Healthcare Facilities
MPX,Marine Products Corporation,17.18,5.812,7.79,298184672,Consumer Cyclical,Recreational Vehicles
MRC,MRC Global Inc.,10.875,1.99,2.27,1038259776,Energy,Oil & Gas Equipment & Services
MSA,MSA Safety Incorporated,19.528978,2.787,2.53,6216684544,Industrials,Security & Protection Services
MSB,Mesabi Trust,-1.4281392,5.613,20.38,371558400,Basic Materials,Steel
MSC,Studio City International Holdi,-40.0,1.01,0.34,770352000,Consumer Cyclical,Resorts & Casinos
MSCI,MSCI Inc.,33.94014,0.848,1.73,44909260800,Financial Services,Financial Data & Stock Exchanges
MSGE,Madison Square Garden Entertain,18.362246,0.538,3.4,1721819264,Consumer Cyclical,Leisure
MSGS,Madison Square Garden Sports Co,126.94375,0.493,4.89,4876651008,Communication Services,Entertainment
MSI,"Motorola Solutions, Inc.",28.720219,1.282,2.66,70430720000,Technology,Communication Equipment
MSM,"MSC Industrial Direct Company, ",18.769766,1.926,3.76,4508387840,Industrials,Industrial Distribution
MT,Arcelor Mittal NY Registry Shar,6.9326677,1.346,2.3,21736736768,Basic Materials,Steel
MTAL,MAC Copper Limited,215.0,0.844,8.39,886212800,Basic Materials,Copper
MTD,"Mettler-Toledo International, I",30.200472,1.022,3.47,26909915136,Healthcare,Diagnostics & Research
MTDR,Matador Resources Company,6.63875,0.932,6.09,6641299456,Energy,Oil & Gas E&P
MTG,MGIC Investment Corporation,8.622302,2.342,6.28,5955322368,Financial Services,Insurance - Specialty
MTH,Meritage Homes Corporation,3.409427,10.58,3.12,5294888448,Consumer Cyclical,Residential Construction
MTN,"Vail Resorts, Inc.",18.88796,0.626,3.5,5932863488,Consumer Cyclical,Resorts & Casinos
MTRN,Materion Corporation,15.822847,3.194,4.27,1984530176,Basic Materials,Other Industrial Metals & Mining
MTUS,Metallus Inc.,12.03077,2.638,6.19,664610880,Basic Materials,Steel
MTW,"Manitowoc Company, Inc. (The)",13.820513,2.022,2.39,378746656,Industrials,Farm & Heavy Construction Machinery
MTX,Minerals Technologies Inc.,10.274596,2.844,1.99,2231252480,Basic Materials,Specialty Chemicals
MTZ,"MasTec, Inc.",23.341328,1.237,1.93,10024019968,Industrials,Engineering & Construction
MUR,Murphy Oil Corporation,7.020565,0.833,5.52,3982972416,Energy,Oil & Gas E&P
MUSA,Murphy USA Inc.,16.653114,0.789,5.89,8936633344,Consumer Cyclical,Specialty Retail
MUX,McEwen Mining Inc.,-59.5,1.17,2.0,377883072,Basic Materials,Other Precious Metals & Mining
MWA,MUELLER WATER PRODUCTS,19.46923,3.825,2.24,3963545856,Industrials,Specialty Industrial Machinery
MX,Magnachip Semiconductor Corpora,0.9464627,4.808,3.94,184153856,Technology,Semiconductors
MYE,"Myers Industries, Inc.",9.623932,1.795,3.26,419545344,Consumer Cyclical,Packaging & Containers
MYTE,MYT Netherlands Parent B.V.,38.357143,1.78,0.71,915756800,Consumer Cyclical,Luxury Goods
NABL,"N-able, Inc.",21.914894,3.01,1.24,1929457792,Technology,Information Technology Services
NAT,Nordic American Tankers Limited,4.696429,0.729,3.57,549133504,Energy,Oil & Gas Midstream
NATL,NCR Atleos Corporation,7.182927,1.073,8.49,2134762752,Technology,Software - Application
NBR,Nabors Industries Ltd.,-33.253845,1.748,3.91,415165792,Energy,Oil & Gas Drilling
NCLH,Norwegian Cruise Line Holdings ,11.535886,0.195,2.59,10601360384,Consumer Cyclical,Travel Services
NE,Noble Corporation plc A,8.132931,1.477,7.62,4285421824,Energy,Oil & Gas Drilling
NEE,"NextEra Energy, Inc.",19.451088,0.471,2.94,147242205184,Utilities,Utilities - Regulated Electric
NEM,Newmont Corporation,11.83551,1.627,1.98,51080568832,Basic Materials,Gold
NET,"Cloudflare, Inc.",176.69768,2.859,2.62,52437602304,Technology,Software - Infrastructure
NEU,NewMarket Corp,21.244385,2.749,2.65,5224633344,Basic Materials,Specialty Chemicals
NEUE,"NeueHealth, Inc.",-0.6166107,0.676,0.5,60901804,Healthcare,Healthcare Plans
NEXA,Nexa Resources S.A.,6.2413793,1.132,0.09,719143744,Basic Materials,Other Industrial Metals & Mining
NFG,National Fuel Gas Company,8.287343,0.387,4.31,6581334016,Energy,Oil & Gas Integrated
NGG,"National Grid Transco, PLC Nati",12.615227,1.609,1.46,59988340736,Utilities,Utilities - Regulated Electric
NGL,NGL ENERGY PARTNERS LP,5.6117644,1.2,6.78,629702016,Energy,Oil & Gas Midstream
NGS,"Natural Gas Services Group, Inc",19.909773,1.76,2.43,330745792,Energy,Oil & Gas Equipment & Services
NGVC,Natural Grocers by Vitamin Cott,52.18293,0.963,1.9,981226048,Consumer Defensive,Grocery Stores
NGVT,Ingevity Corporation,11.360493,1.867,5.4,1672518656,Basic Materials,Specialty Chemicals
NHI,"National Health Investors, Inc.",21.961782,1.693,10.19,3132307968,Real Estate,REIT - Healthcare Facilities
NI,NiSource Inc,21.54301,0.506,2.17,18830495744,Utilities,Utilities - Regulated Gas
NINE,"Nine Energy Service, Inc.",-1.6,2.459,0.82,50836564,Energy,Oil & Gas Equipment & Services
NIO,NIO Inc.,-5.2235293,1.045,3.66,9488946176,Consumer Cyclical,Auto Manufacturers
NJR,NewJersey Resources Corporation,16.228374,0.893,4.0,4703554048,Utilities,Utilities - Regulated Gas
NKE,"Nike, Inc.",23.68421,2.221,2.4,113153441792,Consumer Cyclical,Footwear & Accessories
NL,"NL Industries, Inc.",8.069767,6.72,2.09,339003040,Industrials,Security & Protection Services
NLY,Annaly Capital Management Inc.,7.865454,0.439,2.43,12509883392,Real Estate,REIT - Mortgage
NMG,Nouveau Monde Graphite Inc.,-7.7727275,1.741,1.26,260366304,Basic Materials,Other Industrial Metals & Mining
NMM,Navios Maritime Partners LP,2.4334261,1.081,3.17,1301974144,Industrials,Marine Shipping
NMR,Nomura Holdings Inc,11.571428,1.527,0.95,19730110464,Financial Services,Capital Markets
NNI,"Nelnet, Inc.",19.133898,7.368,6.25,4096563712,Financial Services,Credit Services
NNN,"NNN REIT, Inc.",20.185368,1.645,4.09,7760943104,Real Estate,REIT - Retail
NOA,North American Construction Gro,5.683077,1.131,6.12,498442496,Energy,Oil & Gas Equipment & Services
NOAH,Noah Holdings Limited,10.01695,4.435,8.07,781144768,Financial Services,Asset Management
NOC,Northrop Grumman Corporation,15.964362,1.01,2.31,64844898304,Industrials,Aerospace & Defense
NOG,"Northern Oil and Gas, Inc.",6.521739,0.92,11.19,3270748672,Energy,Oil & Gas E&P
NOK,Nokia Corporation Sponsored,14.114286,1.576,3.09,26990184448,Technology,Communication Equipment
NOMD,Nomad Foods Limited,9.195123,1.201,3.39,3031551232,Consumer Defensive,Packaged Foods
NOTE,"FiscalNote Holdings, Inc.",-4.0,0.814,1.96,202567408,Technology,Information Technology Services
NOV,NOV Inc.,9.685898,2.458,5.75,5754189824,Energy,Oil & Gas Equipment & Services
NOVA,Sunnova Energy International In,-0.91549295,0.864,3.86,243658352,Technology,Solar
NOW,"ServiceNow, Inc.",56.19221,1.099,1.93,193769472000,Technology,Software - Application
NPK,"National Presto Industries, Inc",113.816086,4.951,3.37,703076608,Industrials,Aerospace & Defense
NPKI,NPK International Inc.,17.756758,2.286,4.39,568287232,Energy,Oil & Gas Equipment & Services
NPWR,NET Power Inc.,-19.125,20.958,5.27,575650240,Industrials,Specialty Industrial Machinery
NRDY,Nerdy Inc.,-4.742857,2.178,5.57,250864192,Technology,Software - Application
NREF,"NexPoint Real Estate Finance, I",7.548544,13.322,2.75,349867232,Real Estate,REIT - Mortgage
NRG,"NRG Energy, Inc.",15.356522,1.172,1.8,21463894016,Utilities,Utilities - Independent Power Producers
NRGV,"Energy Vault Holdings, Inc.",-6.952381,1.869,12.86,222095200,Utilities,Utilities - Renewable
NRP,Natural Resource Partners LP Li,33.066666,2.331,5.96,1294470656,Energy,Thermal Coal
NSA,National Storage Affiliates Tru,44.388233,1.056,6.43,5549780992,Real Estate,REIT - Industrial
NSC,Norfolk Southern Corporation,18.244476,0.899,1.7,56101285888,Industrials,Railroads
NSP,"Insperity, Inc.",23.11989,1.08,5.47,3158982400,Industrials,Staffing & Employment Services
NTR,Nutrien Ltd.,13.912699,1.145,2.07,25812697088,Basic Materials,Agricultural Inputs
NTST,NetSTREIT Corp.,47.7,5.826,9.39,1173547392,Real Estate,REIT - Retail
NU,Nu Holdings Ltd.,17.451612,0.747,3.29,52007301120,Financial Services,Banks - Regional
NUE,Nucor Corporation,14.44765,2.507,1.71,31753760768,Basic Materials,Steel
NUS,"Nu Skin Enterprises, Inc.",7.3076925,1.816,3.41,377893280,Consumer Defensive,Household & Personal Products
NUVB,Nuvation Bio Inc.,-3.5079365,9.57,8.96,743813120,Healthcare,Biotechnology
NVGS,Navigator Holdings Ltd.,8.853107,0.75,0.67,1088334720,Energy,Oil & Gas Midstream
NVO,Novo Nordisk A/S,21.641277,0.74,1.47,369140662272,Healthcare,Drug Manufacturers - General
NVR,"NVR, Inc.",13.695203,6.184,2.88,20459628544,Consumer Cyclical,Residential Construction
NVRI,Enviri Corporation,42.647057,1.254,3.34,581434048,Industrials,Waste Management
NVRO,Nevro Corp.,-2.2209303,5.023,4.98,216914304,Healthcare,Medical Devices
NVS,Novartis AG,12.986936,1.035,2.24,215976099840,Healthcare,Drug Manufacturers - General
NVST,Envista Holdings Corporation,18.307018,2.035,5.59,3593563648,Healthcare,Medical Instruments & Supplies
NVT,nVent Electric plc,19.753942,1.733,2.46,10333677568,Industrials,Electrical Equipment & Parts
NWN,Northwest Natural Holding Compa,14.533333,0.721,4.26,1662267392,Utilities,Utilities - Regulated Gas
NX,Quanex Building Products Corpor,8.746781,2.24,6.89,962129600,Industrials,Building Products & Equipment
NXE,Nexgen Energy Ltd.,-50.818184,1.162,7.99,3172386560,Energy,Uranium
NXJ,Nuveen New Jersey Qualified Mun,-305.0,0.055,0.19,503041376,Financial Services,Asset Management
NXRT,"NexPoint Residential Trust, Inc",-39.561226,3.516,3.6,1995007360,Real Estate,REIT - Residential
NYC,American Strategic Investment C,7.464286,1.497,0.16,27838590,Real Estate,Real Estate Services
O,Realty Income Corporation,35.90566,2.288,3.78,49965797376,Real Estate,REIT - Retail
OBDC,Blue Owl Capital Corporation,9.07647,1.495,1.03,7882384896,Financial Services,Asset Management
OC,Owens Corning Inc,10.082877,1.44,1.5,14193871872,Industrials,Building Products & Equipment
OCFT,OneConnect Financial Technology,-21.751177,2.132,2.54,171510784,Technology,Software - Application
OEC,Orion S.A.,7.545,1.187,2.37,854910400,Basic Materials,Specialty Chemicals
OGE,OGE Energy Corp,20.0,0.728,5.34,9091934208,Utilities,Utilities - Regulated Electric
OGS,"ONE Gas, Inc.",17.621685,0.638,5.45,4378848768,Utilities,Utilities - Regulated Gas
OHI,"Omega Healthcare Investors, Inc",22.884617,1.283,6.46,10327080960,Real Estate,REIT - Healthcare Facilities
OI,"O-I Glass, Inc.",7.5771813,1.147,4.37,1739427712,Consumer Cyclical,Packaging & Containers
OII,"Oceaneering International, Inc.",12.048129,1.742,7.22,2276881920,Energy,Oil & Gas Equipment & Services
OIS,"Oil States International, Inc.",15.799998,3.159,2.9,299146112,Energy,Oil & Gas Equipment & Services
OKE,"ONEOK, Inc.",16.432161,0.809,5.82,61209792512,Energy,Oil & Gas Midstream
OKLO,Oklo Inc.,-99.46155,48.447,0.64,5306316800,Utilities,Utilities - Regulated Electric
OLN,Olin Corporation,9.55872,1.274,2.55,3100288768,Basic Materials,Chemicals
OLO,Olo Inc.,25.444443,7.862,3.37,1124412928,Technology,Software - Application
OLP,"One Liberty Properties, Inc.",47.407406,1.52,1.6,547509760,Real Estate,REIT - Diversified
OMC,Omnicom Group Inc.,9.525463,0.995,7.16,16171210752,Communication Services,Advertising Agencies
OMF,"OneMain Holdings, Inc.",7.805475,337.111,4.97,6466164224,Financial Services,Credit Services
OMI,"Owens & Minor, Inc.",3.344086,1.094,9.0,479617952,Healthcare,Medical Distribution
ONL,Orion Office REIT Inc.,-5.757143,2.066,1.56,225469648,Real Estate,REIT - Office
ONON,On Holding AG,44.03636,2.906,5.2,15660796928,Consumer Cyclical,Footwear & Accessories
ONTF,"ON24, Inc.",67.888885,2.745,3.74,254486400,Technology,Software - Application
ONTO,Onto Innovation Inc.,23.764532,8.687,1.61,7875937280,Technology,Semiconductor Equipment & Materials
OOMA,"Ooma, Inc.",21.833332,1.083,4.7,389069984,Technology,Software - Application
OPAD,Offerpad Solutions Inc.,-1.9649123,1.226,21.34,61317536,Real Estate,Real Estate Services
OPFI,OppFi Inc.,12.685393,7.637,2.71,1241900032,Financial Services,Credit Services
OR,Osisko Gold Royalties Ltd,27.77612,4.366,3.25,3485615872,Basic Materials,Gold
ORA,"Ormat Technologies, Inc.",30.586666,0.949,4.4,4163169536,Utilities,Utilities - Renewable
ORC,"Orchid Island Capital, Inc.",42.476192,0.073,2.17,832178944,Real Estate,REIT - Mortgage
ORCL,Oracle Corporation,23.437151,0.809,1.89,469357854720,Technology,Software - Infrastructure
ORI,Old Republic International Corp,11.438871,0.603,2.2,9252294656,Financial Services,Insurance - Property & Casualty
ORN,"Orion Group Holdings, Inc.",24.379313,1.346,1.64,275032896,Industrials,Engineering & Construction
OSCR,"Oscar Health, Inc.",26.464285,0.822,6.41,3713417728,Healthcare,Healthcare Plans
OSK,Oshkosh Corporation (Holding Co,9.526316,1.505,2.05,6656992768,Industrials,Farm & Heavy Construction Machinery
OTIS,Otis Worldwide Corporation,23.477327,0.99,2.92,39005577216,Industrials,Specialty Industrial Machinery
OUT,OUTFRONT Media Inc.,21.476192,0.652,10.08,2994387712,Real Estate,REIT - Specialty
OVV,Ovintiv Inc. (DE),6.9185305,0.521,2.21,11274633216,Energy,Oil & Gas E&P
OWLT,"Owlet, Inc.",-6.141176,1.465,11.51,83708440,Healthcare,Medical Devices
OXM,"Oxford Industries, Inc.",9.508609,1.418,8.91,1127174784,Consumer Cyclical,Apparel Manufacturing
OXY,Occidental Petroleum Corporatio,15.955695,0.953,3.69,47319220224,Energy,Oil & Gas E&P
PAAS,Pan American Silver Corp.,13.139785,2.504,3.06,8889585664,Basic Materials,Gold
PAC,Grupo Aeroportuario Del Pacific,15.654896,0.959,2.72,10228204544,Industrials,Airports & Air Services
PACK,Ranpak Holdings Corp,-141.2,2.361,1.43,590280960,Consumer Cyclical,Packaging & Containers
PACS,"PACS Group, Inc.",7.1452518,1.71,6.06,1984726656,Healthcare,Medical Care Facilities
PAG,"Penske Automotive Group, Inc.",11.786023,0.914,6.29,10922773504,Consumer Cyclical,Auto & Truck Dealerships
PAGS,PagSeguro Digital Ltd.,6.289063,1.516,4.88,2445791232,Technology,Software - Infrastructure
PAM,Pampa Energia S.A.,10.579501,2.406,0.89,5014122496,Utilities,Utilities - Independent Power Producers
PAR,PAR Technology Corporation,200.87097,2.127,7.54,2354316544,Technology,Software - Application
PARR,"Par Pacific Holdings, Inc. Comm",6.298387,1.69,3.79,873971776,Energy,Oil & Gas Refining & Marketing
PATH,"UiPath, Inc.",30.522728,3.129,3.54,7381114368,Technology,Software - Infrastructure
PAY,"Paymentus Holdings, Inc.",54.86,4.311,1.33,3418710784,Technology,Software - Infrastructure
PAYC,"Paycom Software, Inc.",24.433485,1.102,4.64,11928440832,Technology,Software - Application
PBA,Pembina Pipeline Corp.,15.330509,0.647,3.26,21076948992,Energy,Oil & Gas Midstream
PBF,PBF Energy Inc.,-40.701756,1.253,5.8,2675261696,Energy,Oil & Gas Refining & Marketing
PBH,Prestige Consumer Healthcare In,17.742138,3.678,7.39,4192384000,Healthcare,Drug Manufacturers - Specialty & Generic
PBI,Pitney Bowes Inc.,10.32,0.788,5.49,1875154176,Industrials,Integrated Freight & Logistics
PBR,Petroleo Brasileiro S.A.- Petro,4.969697,0.935,2.88,91902402560,Energy,Oil & Gas Integrated
PCG,Pacific Gas & Electric Co.,10.804053,1.054,1.16,35075342336,Utilities,Utilities - Regulated Electric
PCOR,"Procore Technologies, Inc.",67.975204,1.509,8.22,12227613696,Technology,Software - Application
PD,"PagerDuty, Inc.",22.358025,1.968,10.4,1632708992,Technology,Software - Application
PDM,"Piedmont Office Realty Trust, I",-70.7,0.798,3.97,878744448,Real Estate,REIT - Office
PDS,Precision Drilling Corporation,7.2359247,1.48,2.84,746003584,Energy,Oil & Gas Drilling
PEB,Pebblebrook Hotel Trust,-35.939392,1.216,12.02,1419558912,Real Estate,REIT - Hotel & Motel
PEG,Public Service Enterprise Group,20.628992,0.681,2.1,41830969344,Utilities,Utilities - Regulated Electric
PEN,"Penumbra, Inc.",77.16402,6.007,3.06,11234317312,Healthcare,Medical Devices
PEO,"Adams Natural Resources Fund, I",377.16666,1.36,5.21,594655296,Financial Services,Asset Management
PERF,Perfect Corp.,43.600002,5.456,0.12,222030832,Technology,Software - Application
PFGC,Performance Food Group Company,14.538188,1.668,2.79,12786279424,Consumer Defensive,Food Distribution
PFLT,PennantPark Floating Rate Capit,8.9279995,3.938,0.56,981587904,Financial Services,Asset Management
PFSI,"PennyMac Financial Services, In",7.2269807,1.007,3.76,5207692288,Financial Services,Mortgage Finance
PG,Procter & Gamble Company (The),22.942047,0.759,2.22,399163785216,Consumer Defensive,Household & Personal Products
PGR,Progressive Corporation (The),19.289131,0.27,2.05,156040577024,Financial Services,Insurance - Property & Casualty
PGRE,"Paramount Group, Inc.",-17.384617,7.585,2.87,1073757568,Real Estate,REIT - Office
PH,Parker-Hannifin Corporation,22.65523,1.06,1.59,85882388480,Industrials,Specialty Industrial Machinery
PHG,Koninklijke Philips N.V. NY Reg,15.118342,1.23,3.65,23633979392,Healthcare,Medical Devices
PHI,PLDT Inc. Sponsored,7.993311,0.335,2.83,5163738112,Communication Services,Telecom Services
PHIN,PHINIA Inc.,10.71036,1.9,6.59,2067617024,Consumer Cyclical,Auto Parts
PHM,"PulteGroup, Inc.",7.637778,7.777,2.54,20875444224,Consumer Cyclical,Residential Construction
PHR,"Phreesia, Inc.",-47.03333,1.736,6.54,1640262016,Healthcare,Health Information Services
PHX,PHX Minerals Inc.,17.25,3.19,1.43,155170512,Energy,Oil & Gas E&P
PII,Polaris Inc.,12.212598,1.148,3.85,2610328320,Consumer Cyclical,Recreational Vehicles
PINE,"Alpine Income Property Trust, I",126.69231,14.669,0.5,262143104,Real Estate,REIT - Retail
PINS,"Pinterest, Inc.",20.961111,8.753,2.43,25589880832,Communication Services,Internet Content & Information
PK,Park Hotels & Resorts Inc.,13.294737,1.18,5.5,2551828224,Real Estate,REIT - Hotel & Motel
PKE,Park Aerospace Corp.,27.000002,7.553,3.87,274370016,Industrials,Aerospace & Defense
PKST,Peakstone Realty Trust,-27.421053,5.304,8.44,382991264,Real Estate,REIT - Office
PKX,POSCO Holdings Inc.,7.962901,1.931,5.55,14874158080,Basic Materials,Steel
PL,Planet Labs PBC,-45.181816,2.336,0.92,1485895680,Industrials,Aerospace & Defense
PLD,"Prologis, Inc.",34.366478,1.001,2.41,112122257408,Real Estate,REIT - Industrial
PLNT,"Planet Fitness, Inc.",33.181507,1.944,3.12,8196293120,Consumer Cyclical,Leisure
PLOW,"Douglas Dynamics, Inc.",13.373057,2.143,2.69,596056128,Consumer Cyclical,Auto Parts
PLYM,"Plymouth Industrial REIT, Inc.",548.0,0.743,2.49,754259008,Real Estate,REIT - Industrial
PM,Philip Morris International Inc,21.444445,0.88,1.46,240070377472,Consumer Defensive,Tobacco
PMT,PennyMac Mortgage Investment Tr,9.196078,0.87,4.53,1222134272,Real Estate,REIT - Mortgage
PNNT,PennantPark Investment Corporat,8.147727,0.783,2.35,468173056,Financial Services,Asset Management
PNR,Pentair plc.,19.162888,1.604,2.27,15356570624,Industrials,Specialty Industrial Machinery
PNST,"Pinstripes Holdings, Inc.",-0.46985292,0.131,2.27,13167362,Consumer Cyclical,Restaurants
PNW,Pinnacle West Capital Corporati,19.568377,0.708,3.34,10412646400,Utilities,Utilities - Regulated Electric
POR,Portland General Electric Co,13.691359,0.916,2.6,4850677248,Utilities,Utilities - Regulated Electric
POST,"Post Holdings, Inc.",18.329636,2.393,4.85,6532685312,Consumer Defensive,Packaged Foods
PPL,PPL Corporation,18.972677,0.864,4.36,25615097856,Utilities,Utilities - Regulated Electric
PR,Permian Resources Corporation,9.230263,0.68,4.29,11271196672,Energy,Oil & Gas E&P
PRA,ProAssurance Corporation,16.855421,2.148,2.4,715676608,Financial Services,Insurance - Property & Casualty
PRG,"PROG Holdings, Inc.",7.5166235,4.033,7.72,1199596928,Industrials,Rental & Leasing Services
PRGO,Perrigo Company plc,8.121796,2.556,3.87,3457085440,Healthcare,Drug Manufacturers - Specialty & Generic
PRI,"Primerica, Inc.",13.271844,3.492,3.2,9122728960,Financial Services,Insurance - Life
PRIM,Primoris Services Corporation,16.841835,1.378,2.33,3546138624,Industrials,Engineering & Construction
PRKS,United Parks & Resorts Inc.,11.482456,0.643,5.85,2879983360,Consumer Cyclical,Leisure
PRLB,"Proto Labs, Inc.",27.591837,3.658,3.13,994129664,Industrials,Metal Fabrication
PRM,"Perimeter Solutions, SA",33.333332,6.306,1.82,1496640000,Basic Materials,Specialty Chemicals
PRMB,Primo Brands Corporation,30.972727,1.112,3.52,12948440064,Consumer Defensive,Beverages - Non-Alcoholic
PRO,"PROS Holdings, Inc.",50.333336,1.279,7.41,1221060352,Technology,Software - Application
PRSU,Pursuit Attractions and Hospita,63.881355,1.006,1.99,1051622592,Industrials,Specialty Business Services
PRT,PermRock Royalty Trust Trust,6.723077,4.578,0.75,53164108,Energy,Oil & Gas E&P
PRU,"Prudential Financial, Inc.",7.4540505,1.146,3.88,38762999808,Financial Services,Insurance - Life
PSA,Public Storage,28.61618,0.967,4.33,53288919040,Real Estate,REIT - Industrial
PSFE,Paysafe Limited,18.852942,1.138,5.88,1168664704,Technology,Software - Infrastructure
PSN,Parsons Corporation,15.293059,1.285,3.41,6352163840,Technology,Information Technology Services
PSO,"Pearson, Plc",19.802326,1.778,2.25,11368751104,Communication Services,Publishing
PSQH,"PSQ Holdings, Inc.",-2.0805368,1.896,1.36,132410296,Technology,Software - Application
PSTG,"Pure Storage, Inc.",35.172974,1.772,4.94,21228240896,Technology,Computer Hardware
